option_type,strategy_label,protocol,protocol_label,hit_rate,brier,calib_slope,mean_gross_bp,sr_gross,mean_net_bp,sr_net,obs,min_train_days,rolling_window,representative_moneyness,max_moneyness_dev
strangle,Strangle/Straddle,expanding,Expanding (252d),0.6803519061583577,0.21558595587431598,0.18886317853265455,1.2010599324426183,0.38992939162437174,0.6870228443948715,0.22306639349393945,682,252,252,True,0.01
strangle,Strangle/Straddle,rolling,Rolling (252d),0.6788856304985337,0.21559344896997373,0.18350167826320554,2.7710799497523966,0.9008206364557195,2.257042861704651,0.7337876718361224,682,252,252,True,0.01
iron_condor,Iron Butterfly/Condor,expanding,Expanding (252d),0.6436950146627566,0.2243493659111,0.6351887131939692,0.40337648128415254,0.7454075186751904,-0.12677048679486885,-0.23438468816473754,682,252,252,True,0.01
iron_condor,Iron Butterfly/Condor,rolling,Rolling (252d),0.6436950146627566,0.22816917117195135,0.5241966054362704,0.5837517795478832,1.0800323017654758,0.05360481146886168,0.09922829713989355,682,252,252,True,0.01
risk_reversal,Risk Reversal,expanding,Expanding (252d),0.7008797653958945,0.2046487707686895,0.2709526374800579,0.4966540196162456,0.1184268749003825,-0.01738306843150104,-0.0041446247450134905,682,252,252,True,0.01
risk_reversal,Risk Reversal,rolling,Rolling (252d),0.7111436950146628,0.20258402162813646,0.41325452752057246,1.358218582031892,0.32392495632706036,0.8441814939841459,0.20131534633800743,682,252,252,True,0.01
bull_call_spread,Bull Call Spread,expanding,Expanding (252d),0.5806451612903226,0.24481261233383844,-0.021279171137977282,0.030674416810781854,0.0231655801681025,-0.4855997595807543,-0.36671121381516614,682,252,252,True,0.01
bull_call_spread,Bull Call Spread,rolling,Rolling (252d),0.5615835777126099,0.25079549149488795,0.007427499456987218,0.08571900135061405,0.06473618807757313,-0.4305551750409221,-0.3251730807864093,682,252,252,True,0.01
call_ratio_spread,Call Ratio Spread,expanding,Expanding (252d),0.5821114369501467,0.24576269711008722,0.2401334053054059,0.1837491687111026,0.0778070945600355,-0.3393301963422336,-0.14368032987591617,682,252,252,True,0.01
call_ratio_spread,Call Ratio Spread,rolling,Rolling (252d),0.6026392961876833,0.2458103499809969,0.26470886088125944,-0.2766015249306157,-0.11712645515393709,-0.7996808899839518,-0.33856331142443624,682,252,252,True,0.01
bear_put_spread,Bear Put Spread,expanding,Expanding (252d),0.6402349486049926,0.23159023058292422,0.015436437872070186,-0.08947644650765989,-0.06655487536067015,-0.6068538787972261,-0.4513265330789664,681,252,252,True,0.01
bear_put_spread,Bear Put Spread,rolling,Rolling (252d),0.6284875183553598,0.2363099782843548,0.014589901970050544,0.17968589989029018,0.1336585479821933,-0.33769153239927624,-0.25116244884080136,681,252,252,True,0.01
put_ratio_spread,Put Ratio Spread,expanding,Expanding (252d),0.6901615271659325,0.21701076540185632,1.2975819816865986,3.6172554397495045,1.8086456540697329,3.0926428692831616,1.5469937794076916,681,252,252,True,0.01
put_ratio_spread,Put Ratio Spread,rolling,Rolling (252d),0.6828193832599119,0.21611543506231914,0.8943361187465899,3.646734955765495,1.8235795573341433,3.122122385299152,1.5618954235462703,681,252,252,True,0.01
